BRANCH_ID|CUST_SHIP_ID|CUST_NAME|CUST_ADDR1|CUST_ADDR2|CUST_CITY|CUST_POSTAL_CODE|CUST_TYPE_ID|CUST_SHIP_ID_ORACLE|
21|2100291|50|PASAR ANYAR BLOK C-D NO.101 SEMI BASEMEN||BOGOR||T9|216935|
44|4400273|55|JL.CILEDUG NO. 25 A||GARUT||T4|231605|
27|2705185|8 JAYA|JL. CIUNG WANARA NO. 3 B||GIANYAR||A1|273825|
41||89|JL. RAYA BANYUWANGI DUSUN PASAR ALAS||BANYUWANGI||A1|288935|
44|4400548|A-A|JL.CILEDUG NO. 34 RT.01 RW.10 KEL.REGOL - KEC.GARUT KOTA||GARUT||A1|231306|
24|2404646|A.VITRA(GOENAWAN YOELIANTOROBA|JL DIPONEGORO NO.4||SALATIGA||A1|248336|
24|2404416|AA 2|JL. MAJAPAHIT RUKO GAYAMSARI 48||SEMARANG||A1|248069|
21|2104802|AA FARMA|JL. RAYA JAMPANG NO.1 RT/RW 03/05||BOGOR||A1|217076|
24|2404068|ABADI|JL DIPONEGORO 8||JUWANA||A1|248167|
24|2408219|ABADI FARMA|JL. TLOGOSARI RAYA II NO. 47||SEMARANG||A1|247961|
44|4402540|ABANG ADEK|PASAR BARAT SINGAPARNA NO.122||TASIKMALAYA||T11|231453|
24|2404687|ABDI|JL KARTINI NO.2||JEPARA||A1|248095|
35|3504109|ABDUL GANI KADIR (APT PARISYA)|JL. ANGKATAN 66 NO. 63/64 RT.011 RW.006 KEL. TALANG AMAN||PALEMBANG||A1|299282|
39|3902840|ABI FARMA|JL. NGEBLAK NO.1 WIJIREJO PANDAK||BANTUL||A1|261515|
27|2705415|ABIAN TUWUNG|JL. RAYA ABIAN TUWUNG NO.55||TABANAN||A1|273700|
26|2610496|ACESORIS|PASAR PEGIRIAN BLOK B NO.1||SURABAYA||T11|263191|
26|2605475|ADAM|JL RATU AYU NO 6||SIDOARJO||A1|263800|
24|2400401|ADAPERKASA (1)|JL. MGR. SUGIYOPRANOTO NO. 58-60||SEMARANG||S8|247775|
24|2409931|ADAPERKASA (2)|JL. BRIGJEND. SUDIARTO NO. 325||SEMARANG||S8|247776|
24|2409932|ADAPERKASA (3)|JL. SETIA BUDI  NO. 221- 225||SEMARANG||S8|247777|
27|2700141|ADHI GUNA FARMA|JL. MALUKU BLOK A-15||DENPASAR||A1|273177|
27|2700142|ADHI GUNA FARMA 2|JL. MAYJEND. SUTOYO NO. 45||DENPASAR||A1|273178|
35|3504163|ADI BRATA NUGRAHA (APT ADHITIA)|JL. RADIAL NO. 73  24 ILIR RT.20 RW.06||PALEMBANG||D1|298882|
34|3403499|ADI BUDI SANTOSO / APT AN-NUR|PERUM KOTA ALAM PERMAI BLOK P NO.2||LAMPUNG UTARA||A1|300922|
39|3903505|ADI FARMA|JL. LETTU SUGIARNO 45 RT.01 RW.07 PUCUNGREJO MUNTILAN||MAGELANG||A1|261230|
27|2705215|ADIKARA|JL. RAYA SEMBUNG NO. 50||BADUNG||A1|273828|
27||ADIKARA 3|JL. WISNU. BR.LEBAH. DS.MARGA||TABANAN||A1|296768|
36||ADINDA|JL. GAJAH MADA NO.20P GUNUNG PANGILUN||PADANG||A1|333368|
42|4204506|ADIPALA|JL. LAUT NO.39A ADIPALA||CILACAP||A1|242759|
29|2903688|ADIS FARMA 2|JL. SUNGAI RAYA DALAM NO.28 B||PONTIANAK||A1|324720|
23|2304373|ADISFA|JL. KI BAGUS RANGIN DESA JATITUJUH KEC. JATITUJUH KAB. MAJALENGKA||MAJALENGKA||A1|237810|
42|4202109|ADITYA|JL. MAY.JEND. SUTOYO NO. 68||BANJARNEGARA||A1|242255|
27|2706152|ADITYA FARMA|JL. NUANSA HIJAU UTAMA XX 2A||AMLAPURA||A1|273260|
42||ADJI FARMA|JL. SULTAN AGUNG NO.08 RT.003 RW.001 BUNTU KROYA||CILACAP||A1|282341|
03|309349|ADLIS RAHMAN ( APT FANIDA )|JL. BIMA DUTA V NO. 17 RT 001 / RW 011 LAMBANGSARI - TAMBUN SELATAN||||A1|5551|
39|3902705|ADNA FARMA|JL. PARANGTRITIS KM.7 NO.138 CABEYAN PANGGUNGHARJO SEWON||BANTUL||A1|261552|
42|4203997|ADWIYA FARMA|JL. RAYA WALIK NO.5 KUTASARI||PURBALINGGA||A1|242696|
21||ADZIKRA FARMA|KP SELAMANJAH RT 003 RW 011||SUKABUMI||A1|322330|
24|2404397|AFIAT|JL PEDURUNGAN NO.6||SEMARANG||A1|248030|
42|4204122|AFIAT|JL. PLN NO.14 BUMIAYU||BUMIAYU||A1|242643|
21||AFIFAH|JL. PAJAJARAN NO.12 RT.02 RW.07 DS SUKAMANTRI||SUKABUMI||D2|331915|
39|3901150|AFINA|JL DR SUTOMO NO.21||YOGYAKARTA||A1|260734|
42|4202791|AFIYA|JL. NUSAWUNGU RT 004 / RW 002 NO.54||CILACAP||A1|242776|
42|4202697|AFLAH|JL. LETNAN YUSUF NO. 58 BABAKAN||PURBALINGGA||A1|242972|
23|2300112|AGUNG|JL.BAHAGIA 18 B||CIREBON||A1|237620|
24|2400865|AGUNG|KOMPLEX KANJENGAN BLOK A/19||SEMARANG||T11|247751|
24|2408816|AGUNG (B)|JL. KANJENGAN NO.27||SEMARANG||T9|248896|
24|2410623|AIRA|JL. PROF. DR. HAMKA NO.114||SEMARANG||A1|247626|
27|2705938|AISHWARYA|JL. SULI NO.108 B LANTAI I||DENPASAR UTARA||A1|273496|
26|2605250|AISYIYAH|JL KH HASYIM ASYARI NO 17||BOJONEGORO||R1|264110|
24|2410343|AJI|JL. HM SUBCHAN ZE NO.62||KUDUS||A1|249021|
24|2408926|AJRON FARMA|JL. KETILENG RAYA NO.6||SEMARANG||A1|249009|
39|3903289|AKADEMIK UNIVERSITAS GADJAH MADA|JL. KABUPATEN KM.1 KRONGGAHAN TRIHANGGO GAMPING SLEMAN||YOGYAKARTA||R7|261101|
24|2408848|AKBAR|JL. KEDUNG MUNDU RAYA NO. 106 C||SEMARANG||A1|248939|
27|2705447|AKL|JL. TEUKU UMAR BLOK B NO.7||DENPASAR||A1|273768|
24|2409946|AKMAL SEHAT 5|JL. GAJAHMADA NO.10||PURWODADI||A1|248952|
47|4701247|AL - HIDAYAH|JL. GARUDA NO.232 LABUHAN BADAS||SUMBAWA||A1|277373|
24|2410628|AL FATH MEDIKA|JL. HOS COKROAMINOTO NO.68||REMBANG||A1|247627|
42|4203208|AL HUDA|JL. HM. SARBINI NO.122 RT.06 RW.V BUMIREJO||KEBUMEN||A1|242943|
41||AL KAROMAH|JL. KH. ABD. RAHMAN NO.78 TEMPUREJO||JEMBER||A1|329539|
41|4103949|AL MIRANDRA MEDICA|JL. BRIGPOL SUDARLAN 52 NANGKAAN||BONDOWOSO||A1|274738|
44||AL-AMIN|JL.RE MARTADINATA NO.51 RT.002 RW.002||CIAMIS||A1|265803|
42|4204104|AL-BAROKAH|SARWADADI TR 02 RW 02 KAWUNGANTEN||CILACAP||A1|242605|
34|3404651|AL-FARUQ|JL P TIRTAYASA CAMPANG RAYA BANDAR LAMPUNG||BANDAR LAMPUNG||A1|300765|
39|3904387|AL-FAYADH FARMA / ALFIAN SYARIFUDDIN|MINTORAGAN RT. 001 POTORONO BANGUNTAPAN BANTUL||YOGYAKARTA||A1|260973|
26|2600920|AL-IRSYAD|JL.K.H.MANSYUR 210||SURABAYA||R1|264703|
45|4501667|AL-MISBAH|JL. KERAMIK NO.9||PALU||A1|305114|
29|2902971|AL-QOWIY|JL. PROF.M YAMIN NO.1 D||PONTIANAK||A1|324761|
35|3505391|ALBERT SUSANTO ( APT. ANGGUT)|JL. SOEKARNO HATTA NO.168 RT.003 RW.001 KEL ANGGUT ATAS||BENGKULU||A1|298756|
39|3902359|ALDRICH UNIVERSAL/ APT K-24 JALAN GODEAN|JL. CENDANA NO. 11 PERUM AMANDARI DERESAN||YOGYAKARTA||A1|260726|
21|2100696|ALFATH|JL RAYA SUKAHATI NO 18 RT 001 RW 002||BOGOR||A1|218042|
39|3903103|ALFATH MEDIC|JL. GEDONG KUNING NO.40 D||YOGYAKARTA||A1|261409|
39|3904079|ALIFA FARMA / CV ALIFA FARMA|BROSOT KIOS BLIMBING NO.08 RT.01 RW.01 GALUR||KULON PROGO||A1|261210|
42|4204495|ALITA FARMA|ALITA F JL. WIJAYAKUSUMA RT.03 RW.21 DS.JENANG MAJENANG CILACAP||CILACAP||A1|242067|
44|4402446|ALIYA FARMA|JL. RAYA SENTRAL KP. RANCAMAYA RT.05 RW.09 CIKUNTEN SINGAPARNA||TASIKMALAYA||A1|231344|
40|4004938|ALKA VINSUA|RUKO BLOSSOM VILLE W 1/05 R CITRA RAYA PANONGAN||TANGERANG||A1|211499|
44||ALMA MEDIKA|JL. IBRAHIM ADJIE SUKAMAJU KALER||TASIKMALAYA||A1|292926|
40|4003485|ALMADANI|JL. MAULANA YUSUF NO. 12 TAMAN SARI CIMUNCANG||SERANG||A1|211480|
40|4004583|ALPHA SPARGO|RUKO GOLDEN BOULEVARD JL. PAHLAWAN SERIBU  BLOK L NO.7 DESA JELUPANG||TANGERANG||D1|211649|
40||AM JAYA|JL. PROFESOR SOEPOMO KEL.BUARAN INDAH||KOTA TANGERANG||T3|280797|
24|2404298|AMAL SEHAT|JL RAYA WONOSOBO NO.57||WONOSOBO||A1|248272|
40|4005235|AMAL SEHAT|JL. SAYABULU RUKO NO.2||SERANG||A1|210958|
27|2704612|AMALIA FARMA/ FANY AMALIA|JL. AKHMAD YANI NO. 175||SINGARAJA||A1|273501|
23|2303167|AMAN HUSADA 2|JL. CIREMAI RAYA BLOK E NO. 21||CIREBON||A1|238909|
39|3902675|AMANAH|JL. IMOGIRI TIMUR KM. 7.5 GROJOGAN WIROKERTEN BANGUNTAPAN||BANTUL||A1|261499|
44|4402584|AMANAH|PASAR INDIHIANG BLOK A NO.13 - INDIHIANG||TASIKMALAYA||T3|231592|
23|2303980|AMANAH FARMA|JL. SINDANGLAUT - PABUARAN DUSUN 1 RT.03 RW.02 DS.KARANG TENGAH||CIREBON||A1|238733|
47|4701253|AMANAH II|APT AMANAH II||MATARAM||A1|277323|
42|4202406|AMANDA|JL. MARTADIREJA II NO. 32 MERSI||PURWOKERO TIMUR||A1|242906|
27|2706366|AMERTA FARMA|JL SILIGITA BLOK I NO 14 NUSA DUA||BADUNG||R1|273749|
27|2705436|AMERTA FARMA|JL. PULAU SERANGAN NO.7||DENPASAR||R1|273748|
44|4402620|AMINULLAH|JL. CISALAK BENDA NO.84 RT.003 RW.013 KEL. NAGARASARI - KEC. CIPEDES||TASIKMALAYA||A1|231564|
39|3902100|AMPUH|JL. GANDEKAN LOR NO. 61||YOGYAKARTA||A1|260776|
24|2408564|AMPUH|JL. RAYA TAYU PATI KM. 3 NO. 1||PATI||A1|247952|
23|2303696|AN-NABIL|JL. RAYA BANJARAN NO.21 BLOK SUKAWANGI 05/03||MAJALENGKA||A1|238628|
40|4006013|AN-NISA|JL. GATOT SUBROTO NO.96 KM.3||TANGERANG||R1|211352|
40|4003565|AN-NISA UTAMA|JL. GATOT SUBROTO NO. 1 RT 003 / RW 001 UWUNG JAYA CIBODAS||TANGERANG||R1|210744|
23|2300829|ANANDA|JL. SILIWANGI NO.201||CIREBON||A1|238584|
39|3901244|ANDAYANI (APT ANDAYANI)|JL. PRAMUKA RT 03 / RW 15||YOGYAKARTA||A1|260849|
24|2410733|ANEKA JAYA BANDUNGREJO|JL RAYA BANDUNGREJO NO 119||DEMAK||S8|247737|
24||ANEKA JAYA SAMBIROTO|JL. SAMBIROTO RAYA NO. 100 RT.002 RW.002||SEMARANG||T9|276259|
24|2400682|ANEKA JAYA SWALAYAN|JL RAYA MRANGGEN 22||DEMAK||S8|247739|
39|3903209|ANEKA SYIFA'|JL. KAKAP RAYA M.05 RT.31/12 MLANDANGAN MINOMARTANI NGAGLIK||SLEMAN||A1|261438|
21|2105163|ANGEL COSMETIK|PASAR BARU CILEUNGSI BLOK C-1 NO.1-2||CILEUNGSI||T11|216844|
24|2411340|ANGGARA KASIH SUSANTO|JL. ABDURRAHMAN SALEH NO.270||SEMARANG||A1|248362|
27|2705803|ANGKOT SARI|JL. PULAU BELITUNG NO.1XC||DENPASAR||A1|273662|
39|3902676|ANISA|JL. LETKOL SUBADRI NO.90 TRIHARJO||SLEMAN||A1|261500|
39|3901083|ANNISA|JL. A.M. SANGAJI NO. 77 KARANGWARU TEGALREJO||YOGYAKARTA||A1|260615|
39|3901083|ANNISA|JL. MONUMEN YOGYA KEMBALI NO. 126||YOGYAKARTA||A1|260615|
23|2304456|ANNISA 24|JL. R.E. MARTADINATA KEL. KERTAWINANGUN KEC. SINDANGAGUNG||KUNINGAN||A1|237779|
42|4202528|ANNISA FARMA|JL. RAYA KARANGPUCUNG 13||KARANGPUCUNG||A1|242792|
24|2404633|ANUGERAH|JL MT HARYONO 46 A||UNGARAN||A1|248297|
39|3903161|ANUGERAH|JL. BABARSARI NO.88 TAMBAKBAYAN CATURTUNGGAL DEPOK SLEMAN||YOGYAKARTA||A1|261434|
44|4402114|ANUGERAH|JL. BOJONG JENGKOL RT.03 RW.07 DS.SUKAMULYA - KEC.CIAHURBEUTI||CIAMIS||A1|231414|
39||ANUGERAH 24|JL. NYI TJONDROLUKITO NO. 67 GEMAWANG. SINDUADI. MLATI||SLEMAN||A1|266255|
24|2400290|ANUGERAH ABADI|JL. KARANG KEBON UTARA NO.215||SEMARANG||A1|247921|
24|2400361|ANUGERAH BAHAGIA|JL. UTAMA TENGAH NO. 139||KENDAL||A1|247872|
24|2411568|ANUGERAH FARMA|JL. DUSUN TEGALWARUNG RT.02 RW.02||GROBOGAN||A1|247855|
27|2700313|ANUGERAH I|JL PATIMURA NO.57||DENPASAR||A1|273115|
47|4700544|ANUGERAH II|JL. AIRLANGGA NO. 38 A GOMONG||MATARAM||A1|277523|
27|2705818|ANUGERAH II|JL. GATOT SUBROTO I NO. 2A||DENPASAR||A1|273116|
39|3904193|ANUGERAH JAYA|BARAHAN TIRTORAHAYU GALUR KULONPROGO||YOGYAKARTA||A1|261007|
39|3904192|ANUGERAH JAYA / AGUS WIDYANTAKA|PANJUL RT.025 RW.013 SRIKAYANGAN SENTOLO KULONPROGO||YOGYAKARTA||A1|261006|
44|4402776|ANUGERAH SAHABAT INSAN HUSADA (ASIH)|JL.RUMAH SAKIT NO.62 RT.001 RW.009 KEL.EMPANGSARI - KEC.TAWANG||TASIKMALAYA||A1|231696|
24|2410662|ANUGERAH SEHAT|JL. BATANGAN - JAKEN KM.4 NO.1||PATI||A1|248411|
24|2408582|ANUGERAH SENTOSA|JL. SUPROBO I J NO. 22 PLOMBOKAN||SEMARANG||A1|247954|
27|2705567|ANUGERAH SOS RENON|JL. RAYA PUPUTAN NO.58||DENPASAR||A1|273811|
24|2411563|ANUGRAH|JL SUMBING NO.10||WONOSOBO||A1|248482|
23|2304268|ANUGRAH|JL. RAYA CIKULAK PABUARAN NO.03 (DPN BALE DESA CIKULAK)||WALED||T9|237854|
36||ANUGRAH|PASAR KAUMAN. TANJUNG BETUNG. RAO SELATAN||PASAMAN TIMUR||A1|351348|
36||ANUGRAH (RAO)|PASAR KAUMAN. TANJUNG BETUNG. RAO SELATAN||PASAMAN TIMUR||A1|351348|
36||ANUGRAH (SUNGAI RUMBAI)|JORONG PASAR BARU. SUNGAI RUMBAI||DHARMASRAYA||A1|377005|
42||ANUGRAH FARMA|JL. LETKOL SUGIRI NO.32. DESA BOBOTSARI KECAMATAN BOBOTSARI||PURBALINGGA||A1|301629|
42|4204228|ANUGRAH SEHAT (KEBUMEN)|JL. CENDRAWASIH NO.11.A TAMANWINAGUN KEBUMEN||KEBUMEN||A1|242493|
42|4202483|ANWAR FARMA|JL. GATOT SUBROTO 30||WANAREJA||A1|242991|
33||AP EL RAFA|DEPAN SMP N 1 TOBELOKABUPATEN HALMAHERA UTARA||TOBELO||A1|332179|
33||AP IKA FARMA|JL B.W.LAPIAN LING I SENDANGAN TENGAH||||A1|309232|
48||AP SETIA FARMA OESAPA|JLN TIMOR RAYA  KM 9 KEL. OESAPA KEC. KELAPA LIMA||KUPANG||A1|380192|
24|2408416|AP. PATI|JL. KEMBANG JOYO NO. 169 KUTOHARJO||PATI||A1|247994|
36||APOLLO FARMA|JLN. SOEKARNO HATTA RT 02 RW 02||PAYAKUMBUH||A1|332817|
34|3404443|APOTEK  RIZKA FARMA|JL. TAMAN NASIONAL WAY GAMBAS RT.001 RW.001||LAMPUNG TIMUR||A1|300743|
34||APOTEK  SAMAWA|JL JENDRAL SUDIRMAN NO 12||PRINGSEWU||A1|351684|
47||APOTEK &quot;CELESTIA&quot;|SENGKOL II DESA SENGKOL KECAMATAN PUJUT||LOMBOK TENGAH||A1|313409|
03||APOTEK &quot;NICO SEHAT (PT. BINA SUKSES PRATAMA JAYA)|JL. PINANG NO. 23 RT. 003 RW. 009 RAWAMAGUN PULOGADUNG||JAKARTA TIMUR||A1|351971|
25||APOTEK 128 KARTASURA|JL A.YANI NO 128 KARTASURA||SUKOHARJO||A1|327059|
34|3404640|APOTEK 22 FARMA|JL IMAM BONJOL 22 HADINULYO METRO PUSAT KOTA METRO||METRO||A1|300452|
35||APOTEK 234|JL LINTAS SUMATERA KOTABARU BARAT KEC MARTAPURA||OKU TIMUR||A1|321841|
25||APOTEK 24|JL SLAMET RIYADI 432 PURWOSARI LAWEYAN||SURAKARTA||A1|375397|
25|2500526|APOTEK 24|JL SLAMET RIYADI NO.432 RT 01 RW 13 PURWOSARI LAWEYAN||SURAKARTA||A1|256146|
32||APOTEK 24 FARMA|JL SAMIUN 04||PALOPO||A1|350837|
30||APOTEK 27|JL AKI BALAK RT.20 NO.031 KEL KARANG ANYAR PANTAI KEC. TARAKAN BARAT||TARAKAN||A1|325842|
32||APOTEK 29|JL A MAPPANYOMPA PERUM ADELIADE II BLOK KOTA PALOPO||PALOPO||A1|328796|
30|3003564|APOTEK 5|JL. MJ. PANJAITAN NO. 3 RT. 04 KEL. LOA IPUH||TENGGARONG||A1|317870|
40|4005819|APOTEK 58|TAMAN ROYAL 2 JL. PARAHYANGAN 2 NO.58 RT.05 RW.16 PORIS PLAWAD INDAH||TANGERANG||A1|211983|
40||APOTEK 58 CIPONDOH|JL. MAULANA HASANUDIN NO.207-B KEL.CIPONDOH MAKMUR KEC.CIPONDOH||Kota Tangerang||A1|369154|
25|2505119|APOTEK 7-H FARMA|FAJAR MUTIARA KRONGGAHAN NO.A-04 RT.04/RT.07||KARANGANYAR||A1|256856|
30||APOTEK 86|JL TRIKORA RT.29 KEL. HANDIL KEC. PALARAN||SAMARINDA||A1|344373|
34|3404717|APOTEK 99|JL VETERAN DESA JATI BARU KECAMATAN TANJUNG BINTANG||LAMPUNG SELATAN||A1|300823|
21||APOTEK 99 FARMA|(99) JLN RAYA CIANJUR - SUKABUMI KM 004 KP RANCAGOONG RT 01 RW 01||CIANJUR||A1|326930|
47||APOTEK 99 JAYA|JLN.RAYA MENINTING SANDIK NO.17 SENTELUK BATU LAYAR||LOMBOK BARAT||A1|357575|
49||APOTEK A.R.A FARMA|JL.KELAPA NO.16||KENDARI||A1|344113|
34||APOTEK AAN|JL LINTAS BARAT PEKON PADANG||PESISIR BARAT||A1|328519|
38||APOTEK AASIYAH FARMA|JL. SUKA KARYA NO. 78||PEKANBARU||A1|353886|
31||APOTEK ABADI FARMA|JL MT HARYONO NO 105||SAMPIT||A1|333779|
40||APOTEK ABI FARMA|KOMP.PONDOK BAHAR JL.PONDOK BAHAR PERMAI BLOK A NO.3-A KEL.PONDOK BAHAR KEC.KARANG TENGAH||Kota Tangerang||A1|375836|
31||APOTEK ADIMA|JL.PANGKALAN MUNTAI KM: 1.5 RT: 6 Kelurahan Kotawaringin Hulu||PANGKALAN BUN||A1|364826|
34||APOTEK ADYA FARMA|DUSUN CIMANGGUK RT 001||TULANG BAWANG||A1|380623|
30||APOTEK ADZKA MEDIKA|JL MUGIREJO NO.06 TR.01 KEL. MUGIREJO KEC SUNGAI PINANG||SAMARINDA||A1|368880|
34|3404562|APOTEK ADZKIYA FARMA|SIDODADI RT 001/RW 001 DESA SIDODADI||LAMPUNG TENGAH||A1|300708|
34||APOTEK ADZRA|JL AK GANI RT 02 RW02||WAY KANAN||A1|323707|
21||APOTEK AFIAT|JL RAYA TAMAN PAGELARAN BLOK FF NO 11||BOGOR||A1|295213|
47|4701076|APOTEK AFIAT|JL. KOPERASI NO.64 B||MATARAM||A1|277276|
47|4701321|APOTEK AFLAHA|JLN TGH ALKHALIDY KM 40 KUMBUNG||LOMBOK TENGAH||A1|277216|
40||APOTEK AHC|JL. M. TOHA KM.4 RT.002/002. KEL. PERIUK JAYA. KEC. PERIUK||KOTA TANGERANG||A1|215353|
34||APOTEK AHYA|TANJUNG INTEN DUSUN III RT 029 RW 010 KEC PURBOLINGGO||LAMPUNG TIMUR||A1|303327|
47|4701209|APOTEK AIRLANGGA FARMA|JL. PENDIDIKAN NO.16 DESA AIKMEL||LOMBOK TIMUR||A1|277244|
36||APOTEK AISKIN|JL. IMAM BONJOL NO.41 BELAKANG PONDOK PADANG||PADANG||A1|314765|
38||APOTEK AISYAH 2|JL. BUKIT BARISAN||PEKANBARU||A1|321531|
33||APOTEK AKURAT|JL. DESA PILOLIYANGA||||A1|326885|
35||APOTEK AL NAHDI|APT. AL NAHDI||PALEMBANG||A1|351638|
42|4204455|APOTEK AL-BANNA FARMA|JL. A. YANI RT.04 RW.02 TEGALSARI||SIDAREJA||A1|242035|
35||APOTEK ALAM|JL. LETNAN JAIMAS NO.8 RT.11 KEL. 20 ILIR III KEC. ILIR TIMUR I||PALEMBANG||A1|329336|
40|4000110|APOTEK ALAM SEHAT|JL. RAYA SEWAN RAYA KUCING NO. 7 RT 002 / RW 04||TANGERANG||A1|210741|
32||APOTEK ALBHY FARMA|JL. DR. WAHIDIN  SUDIROHUSODO||BONE||A1|315220|
03||APOTEK ALDI FARMA|RUKO CASA GARDENIA BLOK R1 NO. 8 KEL. WANASARI KEC. CIBITUNG||BEKASI||A1|378560|
34||APOTEK ALENA|JL IMAM BONJOL NO 156 RT 02 RW 02 SUKAJAWA||BANDAR LAMPUNG||A1|303050|
32||APOTEK ALFA FARMA|JL TAMALANREA RAYA PERUM BTP BLOK M2 MAKASSAR||MAKASSAR||A1|355879|
49||APOTEK ALFATH FARMA|JL. WR. MONGINSIDI NO.121 KEL. BATARAGURU||BAU BAU||A1|332688|
49||APOTEK ALFATHUNISSA|DUSUN AMA ANDIA DESA LABURUNCI||PASARWAJO||A1|331881|
35||APOTEK ALGI|JL. MP. MANGKUNEGARA NO 06 KEL 8 ILIR KEC ILIR TIMUR III||PALEMBANG||A1|349973|
47|4701306|APOTEK ALIRAHMAN FARMA|JLN LINTAS SUMBAWA TALABIU RT 006 RW 003||BIMA||A1|277211|
42|4204495|APOTEK ALITA FARMA|ALITA F JL. WIJAYAKUSUMA RT.03 RW.21 DS.JENANG MAJENANG CILACAP||CILACAP||A1|242067|
40|4004940|APOTEK ALKA FARMA|RUKO BLOSSOM VILLE W 1/05 R CITRA RAYA PANONGAN||TANGERANG||A1|211539|
49||APOTEK ALKOBAR FARMA|JL.JEND A.H NASUTION KOTA KENDARI||KENDARI||A1|384508|
47|4701323|APOTEK ALODIE FARMA|JLN BASUKI RAHMAT PRAYA||LOMBOK TENGAH||A1|277217|
47||APOTEK ALUH FARMA|JLN.GAJAH MADA NO.87||LOMBOK TENGAH||A1|309697|
42||APOTEK ALUN ALUN|JL. KAPTEN SUYONO NO.45 JENANG||MAJENANG||A1|304017|
40||APOTEK AMAL INSANI|JL. WARINGIN  KURUNG PERUM HARJATANI PERMAI BLOK A NO.2-5||KOTA SERANG||A1|293647|
47|4701313|APOTEK AMALINA FARMA|JLN.TGH LOPAN NO 91 RUMAK||LOBAR||A1|277510|
47|4701225|APOTEK AMANAH I|APOTEK AMANAH I||MATARAM||A1|277322|
44||APOTEK AMARTA|JL.SUTISNA SENJAYA NO.111 RT.003 RW.008||TASIKMALAYA||A1|251490|
47||APOTEK AMARYLLIS|JLN.YOS SUDARSO NO.17 AMPENAN||KOTA MATARAM||A1|293408|
49||APOTEK ANAKIA FARMA|JL.TRANS SULAWESI||KONAWE UTARA||A1|351378|
40||APOTEK ANANDA BONANG|RUKO DASANA INDAH R1 11 NO.7 KELURAHAN BOJONG NANGKA||KABUPATEN TANGERANG||A1|271936|
30||APOTEK ANANTATUR|JL JAKARTA BLOK J NO.01 RT.41 KEL LOA BAKUNG KEC SUNGAI KUNJANG||SAMARINDA||A1|344369|
25|2504665|APOTEK ANDIN FARMA|JL. PERUM KROYO BARU NO.20 RT.14/RW.05||SRAGEN||A1|256686|
30||APOTEK ANGGANA|JL PROVIINSI SUNGAI MARIAM ANGGANA||KUTAI KERTANEGARA||A1|365324|
35|3505392|APOTEK ANGGUT|JL. SOEKARNO HATTA RT.003 RW.001 KEL ANGGUT ATAS||BENGKULU||A1|298757|
